Filename,A,B,C1,C2,C3,D1,D2,Final_Score,Grade
1105962.txt,5.0,1.0,1.0,4.0,3.0,5.0,3.0,25.0,0
1038651.txt,3.0,0.0,1.0,5.0,1.0,1.0,4.0,18.0,1
1114907.txt,3.0,1.0,1.0,2.0,1.0,1.0,4.0,14.0,1
1068953.txt,2.0,4.0,1.0,4.0,1.0,1.0,3.0,10.0,0
104767.txt,2.0,0.0,1.0,1.0,1.0,1.0,3.0,11.0,0
1134794.txt,2.0,1.0,1.0,2.0,1.0,1.0,3.0,11.0,0
111601.txt,3.0,0.0,1.0,1.0,1.0,4.0,3.0,16.0,1
1143052.txt,1.0,1.0,1.0,2.0,1.0,1.0,5.0,11.0,1
1000434.txt,2.0,1.0,2.0,2.0,1.0,1.0,5.0,14.0,1
1091720.txt,3.0,0.0,1.0,4.0,1.0,1.0,4.0,17.0,1
1140045.txt,4.0,1.0,1.0,3.0,1.0,1.0,5.0,18.0,1
1075554.txt,4.0,0.0,2.0,3.0,3.0,2.0,4.0,22.0,1
1034191.txt,2.0,1.0,1.0,4.0,1.0,1.0,2.0,12.0,0
1063915.txt,1.0,1.0,1.0,3.0,1.0,1.0,2.0,9.0,0
1021965.txt,1.0,0.0,1.0,3.0,1.0,1.0,4.0,12.0,1
1039104.txt,2.0,1.0,2.0,4.0,1.0,1.0,2.0,13.0,0
1009747.txt,4.0,1.0,1.0,3.0,1.0,1.0,4.0,17.0,1
1045808.txt,2.0,0.0,1.0,1.0,2.0,2.0,3.0,13.0,0
1055820.txt,4.0,0.0,1.0,4.0,2.0,1.0,4.0,20.0,1
1034797.txt,4.0,1.0,1.0,1.0,1.0,2.0,2.0,14.0,0
1140289.txt,2.0,1.0,1.0,4.0,1.0,1.0,4.0,14.0,1
1165743.txt,3.0,0.0,2.0,4.0,1.0,2.0,4.0,19.0,1
1085090.txt,3.0,0.0,2.0,3.0,1.0,1.0,4.0,17.0,1
114502.txt,3.0,0.0,1.0,2.0,1.0,1.0,2.0,13.0,0
1080849.txt,4.0,0.0,1.0,5.0,1.0,1.0,3.0,19.0,1
1075905.txt,4.0,0.0,1.0,2.0,1.0,1.0,4.0,17.0,1
1006488.txt,3.0,0.0,1.0,4.0,1.0,1.0,3.0,16.0,1
1156395.txt,3.0,0.0,2.0,1.0,1.0,1.0,4.0,15.0,1
1126144.txt,3.0,0.0,1.0,5.0,5.0,1.0,4.0,22.0,1
1169824.txt,2.0,0.0,1.0,1.0,1.0,1.0,3.0,11.0,1
1083455.txt,4.0,0.0,1.0,2.0,1.0,1.0,4.0,17.0,1
1143655.txt,2.0,0.0,1.0,2.0,1.0,1.0,5.0,14.0,1
1105047.txt,3.0,0.0,1.0,2.0,1.0,1.0,5.0,16.0,1
1092969.txt,5.0,0.0,1.0,4.0,2.0,2.0,3.0,22.0,1
1113660.txt,2.0,1.0,1.0,4.0,1.0,1.0,3.0,13.0,1
1069410.txt,2.0,0.0,1.0,4.0,1.0,1.0,3.0,14.0,1
1167441.txt,3.0,1.0,4.0,2.0,1.0,4.0,3.0,19.0,0
1113031.txt,2.0,0.0,3.0,3.0,1.0,1.0,2.0,14.0,0
10229.txt,1.0,0.0,5.0,1.0,1.0,4.0,1.0,14.0,0
1051940.txt,4.0,1.0,1.0,4.0,1.0,1.0,2.0,16.0,1
1173379.txt,2.0,0.0,1.0,2.0,1.0,1.0,2.0,11.0,0
1131331.txt,3.0,0.0,2.0,5.0,1.0,1.0,4.0,19.0,1
102695.txt,3.0,0.0,1.0,4.0,1.0,2.0,2.0,16.0,0
1017099.txt,2.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,1
1149147.txt,3.0,0.0,2.0,3.0,1.0,1.0,4.0,17.0,1
1011962.txt,3.0,0.0,1.0,3.0,1.0,1.0,2.0,14.0,1
115956.txt,3.0,1.0,1.0,5.0,1.0,1.0,2.0,15.0,1
1000545.txt,3.0,0.0,1.0,2.0,1.0,1.0,4.0,15.0,1
1168591.txt,2.0,0.0,1.0,1.0,1.0,1.0,5.0,13.0,1
1142608.txt,1.0,0.0,1.0,3.0,1.0,1.0,2.0,10.0,0
